Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
14-06-2000,RELIANCE,EQ,338.5,346.5,346.5,336.1,337.85,337.35,341.17,4483842,1.53E+14,-0.34,1434.95,1459.15,1423.95,1435.50
15-06-2000,RELIANCE,EQ,337.35,341,341,327.5,330,331.45,331.65,6077043,2.02E+14,-9.52,1437,1452.80,1422.40,1445.20
16-06-2000,RELIANCE,EQ,331.45,329.55,335.85,329,332.9,332.25,333.39,4558790,1.52E+14,1.74,1443.15,1480.85,1441.60,1477.30
19-06-2000,RELIANCE,EQ,332.25,333.75,336,330.2,331.5,331.35,333.15,3102806,1.03E+14,-0.24,1477.55,1510.45,1477.55,1498.70
20-06-2000,RELIANCE,EQ,331.35,333.5,334,328.55,330.35,330.3,330.6,4148234,1.37E+14,-2.55,1498,1518.05,1497.05,1507.10
21-06-2000,RELIANCE,EQ,330.3,334,334,328.25,328.6,329.15,331.52,2071279,6.87E+13,0.92,1524.05,1539.10,1470.40,1475.10
22-06-2000,RELIANCE,EQ,329.15,330.35,349.8,323.25,349.5,345,337.43,19142742,6.46E+14,5.91,1475.65,1491.40,1461.30,1488.20
23-06-2000,RELIANCE,EQ,345,346.1,354.65,335,336,337.75,347.1,15997583,5.55E+14,9.67,1487.85,1499.85,1462.75,1472.20
26-06-2000,RELIANCE,EQ,337.75,335,335.6,328.25,330.5,331.15,331.07,3465048,1.15E+14,-16.03,1472.15,1472.15,1431.25,1451.60
27-06-2000,RELIANCE,EQ,331.15,331.35,339.9,330.1,334.2,334.5,335.92,7636206,2.57E+14,4.85,1452.8,1467.15,1448.95,1454.30
28-06-2000,RELIANCE,EQ,334.5,335,336.95,332.5,332.5,333.75,334.78,1744726,5.84E+13,-1.14,1453.7,1474.70,1445.60,1470.00
29-06-2000,RELIANCE,EQ,333.75,335.35,345.7,334.9,340,342.25,340.45,7618018,2.59E+14,5.67,1471.35,1505.75,1471.35,1492.30
30-06-2000,RELIANCE,EQ,342.25,344,344.7,336,342,340.8,341.04,6345573,2.16E+14,0.59,1490.2,1490.65,1462.45,1471.40
03-07-2000,RELIANCE,EQ,340.8,338,351.95,338,347.5,348.15,348.06,9853239,3.43E+14,7.02,1473.45,1498.70,1473.45,1495.20
04-07-2000,RELIANCE,EQ,348.15,348.6,349.6,344.05,344.25,345.4,346.3,5380769,1.86E+14,-1.76,1496.15,1516.80,1494.80,1511.30
05-07-2000,RELIANCE,EQ,345.4,349,360.35,346.6,353.1,354.15,355.11,13560315,4.82E+14,8.81,1511.5,1530.90,1511.50,1526.00
06-07-2000,RELIANCE,EQ,354.15,351,364.9,350,363.5,362.35,358.6,14329060,5.14E+14,3.49,1525.15,1525.15,1504.05,1516.80
07-07-2000,RELIANCE,EQ,362.35,364.4,365.9,360,362,361.2,362.88,7969212,2.89E+14,4.28,1517,1528.15,1513.40,1517.60
10-07-2000,RELIANCE,EQ,361.2,363,371,358.65,367.6,368.5,365.52,9419083,3.44E+14,2.64,1518.15,1523.20,1502.70,1509.60
11-07-2000,RELIANCE,EQ,368.5,369.9,377.7,366.55,375.55,375.95,373.27,12140871,4.53E+14,7.75,1510.55,1523.10,1506.15,1518.50
12-07-2000,RELIANCE,EQ,375.95,374.1,375.75,368,369,370.05,371.84,5052490,1.88E+14,-1.43,1518.7,1537.10,1507.95,1533.30
13-07-2000,RELIANCE,EQ,370.05,370.8,373.8,363,366.65,365.75,369.18,5945560,2.19E+14,-2.66,1535.55,1564.75,1513.65,1522.60
14-07-2000,RELIANCE,EQ,365.75,366.25,370.45,359.6,361.1,361.2,365.75,6403575,2.34E+14,-3.43,1522.2,1534.35,1505.90,1509.70
17-07-2000,RELIANCE,EQ,361.2,362.9,364.9,357.5,361.05,363.3,361.59,6151343,2.22E+14,-4.16,1509.25,1512.25,1475.15,1479.60
18-07-2000,RELIANCE,EQ,363.3,361.5,363,356.3,358,358.15,359.79,3720569,1.34E+14,-1.8,1479.3,1482.90,1458.60,1463.10
19-07-2000,RELIANCE,EQ,358.15,358.5,362.5,352.5,354.25,354.1,356.96,4178056,1.49E+14,-2.83,1464.55,1468.55,1432.85,1435.80
20-07-2000,RELIANCE,EQ,354.1,352.9,360.8,347,358.5,357.6,355.41,8901351,3.16E+14,-1.55,1434.95,1443.25,1416.00,1424.20
21-07-2000,RELIANCE,EQ,357.6,357,357,342.25,343.05,343.9,346.89,10264940,3.56E+14,-8.52,1424.9,1435.20,1394.30,1397.20
24-07-2000,RELIANCE,EQ,343.9,341.05,341.05,324.15,325.5,326.5,331.9,6016447,2.00E+14,-14.99,1397.05,1397.05,1310.85,1317.70
25-07-2000,RELIANCE,EQ,326.5,322.55,336.45,320.2,336.05,333.9,328.9,6604953,2.17E+14,-3,1317.35,1363.45,1269.25,1348.90
26-07-2000,RELIANCE,EQ,333.9,339,339,324,324.65,325.6,330.55,3880880,1.28E+14,1.65,1350.8,1371.80,1315.15,1318.20
27-07-2000,RELIANCE,EQ,325.6,326,350.8,322.1,350,344.05,337.48,8614501,2.91E+14,6.93,1317,1342.75,1291.30,1338.00
28-07-2000,RELIANCE,EQ,344.05,348,350,339.2,340.05,340.45,342.96,5985200,2.05E+14,5.48,1337.7,1359.40,1327.95,1333.80
31-07-2000,RELIANCE,EQ,340.45,338,340.9,335.5,337.6,336.8,337.95,2006533,6.78E+13,-5.01,1333.3,1343.65,1317.30,1332.80
01-08-2000,RELIANCE,EQ,336.8,336,341.9,335.6,337.4,338.5,338.82,3732876,1.26E+14,0.87,1332.85,1344.50,1322.60,1326.80
02-08-2000,RELIANCE,EQ,338.5,337.4,339.7,336,338.75,339,338.06,1456348,4.92E+13,-0.76,1323.7,1333.85,1312.25,1331.90
03-08-2000,RELIANCE,EQ,339,339.8,343.75,336.3,336.3,337.65,340.66,3333675,1.14E+14,2.6,1330.7,1339.40,1319.00,1321.20
04-08-2000,RELIANCE,EQ,337.65,338.5,338.75,329.15,329.95,330.1,333.03,3271743,1.09E+14,-7.63,1320.25,1333.15,1302.65,1318.50
07-08-2000,RELIANCE,EQ,330.1,329,332,324.15,330.5,330.25,328.89,2471284,8.13E+13,-4.14,1319.7,1321.70,1299.90,1310.80
08-08-2000,RELIANCE,EQ,330.25,331.65,333.35,329.5,331.25,330.85,331.2,2252594,7.46E+13,2.31,1312.1,1348.25,1311.15,1345.60
09-08-2000,RELIANCE,EQ,330.85,333,338,331.15,332.6,333.7,335.12,2395016,8.03E+13,3.92,1345.95,1363.95,1341.05,1344.90
10-08-2000,RELIANCE,EQ,333.7,332,335.75,328.15,328.35,329.55,332.13,1700036,5.65E+13,-2.99,1345.25,1360.40,1325.15,1328.00
11-08-2000,RELIANCE,EQ,329.55,329.5,332,327.7,329.5,329.25,329.74,1951207,6.43E+13,-2.39,1328.15,1328.15,1306.60,1310.70
14-08-2000,RELIANCE,EQ,329.25,329,331.85,322.3,330.05,329.35,326.59,2652282,8.66E+13,-3.15,1312.25,1321.55,1295.45,1317.90
16-08-2000,RELIANCE,EQ,329.35,331.9,340.8,330.25,337.3,337.4,336.76,4819689,1.62E+14,10.17,1319.35,1354.95,1319.35,1351.40
17-08-2000,RELIANCE,EQ,337.4,339,345.4,335.5,337.5,337.75,340.82,6151601,2.10E+14,4.06,1351.5,1363.05,1334.95,1341.40
18-08-2000,RELIANCE,EQ,337.75,337.05,339.85,335.65,336.5,336.95,337.72,1834008,6.19E+13,-3.1,1342,1360.65,1339.05,1358.00
21-08-2000,RELIANCE,EQ,336.95,336.2,338.9,335.1,337,336.5,337.22,1448300,4.88E+13,-0.5,1358.75,1374.50,1358.75,1370.20
22-08-2000,RELIANCE,EQ,336.5,338.5,342.25,336.7,338.25,338.3,339.38,2848531,9.67E+13,2.16,1370.75,1394.90,1370.75,1381.20
